Metric,Value
design__instance__count,1028
design__instance__area,4692
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0000637268676655367
power__switching__total,0.00002069628499157261
power__leakage__total,4.4261678766588375E-9
power__total,0.00008442757825832814
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2539428461611651
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2511602941158511
timing__hold__ws__corner:nom_tt_025C_1v80,0.3156482942144389
timing__setup__ws__corner:nom_tt_025C_1v80,14.044204419154056
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.315648
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,48.273685
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2549529270975361
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25133204562261807
timing__hold__ws__corner:nom_ss_100C_1v60,0.8535902226652259
timing__setup__ws__corner:nom_ss_100C_1v60,13.505183131848202
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.853590
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,46.825958
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.253467004559353
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2510914325308012
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11066270435459459
timing__setup__ws__corner:nom_ff_n40C_1v95,14.260891537979788
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110663
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,48.828018
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25280539488469167
clock__skew__worst_setup,0.25074551478212037
timing__hold__ws,0.10839618398572076
timing__setup__ws,13.499177269204333
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108396
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,46.785213
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 80.415 91.135
design__core__bbox,5.52 10.88 74.52 78.88
design__io,34
design__die__area,7328.62
design__core__area,4692
design__instance__count__stdcell,236
design__instance__area__stdcell,1943.11
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.414133
design__instance__utilization__stdcell,0.414133
design__rows,25
design__rows:unithd,25
design__sites,3750
design__sites:unithd,3750
design__instance__count__class:inverter,4
design__instance__area__class:inverter,15.0144
design__instance__count__class:sequential_cell,30
design__instance__area__class:sequential_cell,789.507
design__instance__count__class:multi_input_combinational_cell,74
design__instance__area__class:multi_input_combinational_cell,598.074
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,792
design__instance__area__class:fill_cell,2748.89
design__instance__count__class:tap_cell,67
design__instance__area__class:tap_cell,83.8304
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,49
design__instance__area__class:timing_repair_buffer,237.728
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,3387.24
design__violations,0
design__instance__count__class:clock_buffer,9
design__instance__area__class:clock_buffer,203.946
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,15.0144
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,8
global_route__vias,1143
global_route__wirelength,6265
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,170
route__net__special,2
route__drc_errors__iter:0,69
route__wirelength__iter:0,3666
route__drc_errors__iter:1,5
route__wirelength__iter:1,3639
route__drc_errors__iter:2,6
route__wirelength__iter:2,3614
route__drc_errors__iter:3,0
route__wirelength__iter:3,3607
route__drc_errors,0
route__wirelength,3607
route__vias,1085
route__vias__singlecut,1085
route__vias__multicut,0
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,111.14
timing__unannotated_net__count__corner:nom_tt_025C_1v80,4
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,4
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,4
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.253312017420732
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2508141265669827
timing__hold__ws__corner:min_tt_025C_1v80,0.3124949276684128
timing__setup__ws__corner:min_tt_025C_1v80,14.04738054527273
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.312495
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,48.295158
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,4
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,0
design__max_fanout_violation__count__corner:min_ss_100C_1v60,0
design__max_cap_violation__count__corner:min_ss_100C_1v60,0
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.2541526228076009
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.2509909295886546
timing__hold__ws__corner:min_ss_100C_1v60,0.8478359365658514
timing__setup__ws__corner:min_ss_100C_1v60,13.510483780806887
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.847836
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,46.866760
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,4
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,0
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.25280539488469167
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.25074551478212037
timing__hold__ws__corner:min_ff_n40C_1v95,0.10839618398572076
timing__setup__ws__corner:min_ff_n40C_1v95,14.26324343450167
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.108396
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,48.841923
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,4
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,0
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.25541561255613426
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.2520895508137435
timing__hold__ws__corner:max_tt_025C_1v80,0.3191916266088936
timing__setup__ws__corner:max_tt_025C_1v80,14.040554005745848
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.319192
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,48.251698
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,4
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.25670247210037217
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.2523367419771674
timing__hold__ws__corner:max_ss_100C_1v60,0.8599668998098077
timing__setup__ws__corner:max_ss_100C_1v60,13.499177269204333
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.859967
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,46.785213
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,4
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.2549443228688519
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2519782787079535
timing__hold__ws__corner:max_ff_n40C_1v95,0.11328016623147773
timing__setup__ws__corner:max_ff_n40C_1v95,14.25797120725322
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.113280
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,48.813931
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,4
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,4
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79994
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79998
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000615731
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000690465
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000146425
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000690465
design_powergrid__voltage__worst,0.0000690465
design_powergrid__voltage__worst__net:VPWR,1.79994
design_powergrid__drop__worst,0.0000690465
design_powergrid__drop__worst__net:VPWR,0.0000615731
design_powergrid__voltage__worst__net:VGND,0.0000690465
design_powergrid__drop__worst__net:VGND,0.0000690465
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00001599999999999999927596978921418013896982301957905292510986328125
ir__drop__worst,0.00006160000000000000652984610827189726478536613285541534423828125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
